address_name,enforcement_proceedings,property_type,inspections_opendate,inspections_closeddate,violations_item_number,date_num,violation
Yonge,No,High Rise,2023-11-02,2024-02-07,5,97,1
Yorkville,No,High Rise,2023-11-30,2024-01-24,0,55,0
Dufferin,No,High Rise,2024-09-25,2024-11-20,2,56,1
Dufferin,No,High Rise,2024-09-25,2024-11-20,3,56,1
Ridley,No,High Rise,2024-04-12,2024-06-19,2,68,1
Bayview,No,Hospital,2024-05-15,2024-06-14,0,30,0
Dundas,No,High Rise,2024-01-26,2024-05-08,4,103,1
Eglinton,No,High Rise,2024-06-17,2024-09-26,0,101,0
Queens Quay,No,High Rise,2024-04-16,2024-04-17,0,1,0
Mill,No,High Rise,2024-03-12,2024-03-26,0,14,0
Kingston,No,High Rise,2024-05-01,2024-08-12,1,103,1
Pearson,No,Low Rise,2024-06-10,2024-06-12,0,2,0
Dora Spencer,No,High Rise,2023-05-31,2024-02-20,1,265,1
Don Mills,No,High Rise,2023-08-14,2024-04-19,4,249,1
Eglinton,No,Low Rise,2023-11-23,2024-08-28,4,279,1
Camden,No,High Rise,2024-02-22,2024-02-23,2,1,1
Camden,No,High Rise,2024-02-22,2024-02-23,4,1,1
Camden,No,High Rise,2024-02-22,2024-02-23,10,1,1
Byng,No,High Rise,2023-07-18,2024-09-04,2,414,1
Byng,No,High Rise,2023-07-18,2024-09-04,7,414,1
Byng,No,High Rise,2023-07-18,2024-09-04,9,414,1
Byng,No,High Rise,2023-07-18,2024-09-04,16,414,1
Harrison Garden,No,High Rise,2023-07-13,2024-02-22,1,224,1
Ellerslie,No,High Rise,2024-06-12,2024-08-27,2,76,1
Ellerslie,No,High Rise,2024-06-12,2024-08-27,3,76,1
Kingston,No,High Rise,2024-06-24,2024-09-05,3,73,1
Richview,No,High Rise,2024-03-06,2024-08-01,1,148,1
Charles,No,High Rise,2024-07-04,2024-07-04,0,0,0
Wellesley,No,High Rise,2024-04-11,2024-07-24,4,104,1
Wellesley,No,High Rise,2024-04-11,2024-07-24,9,104,1
Monte Kwinter,No,High Rise,2024-11-04,2024-11-04,0,0,0
Denton,No,High Rise,2024-09-04,2024-09-05,0,1,0
La Rose,No,High Rise,2024-04-19,2024-04-19,0,0,0
Sherbourne,No,High Rise,2024-04-10,2024-05-17,3,37,1
Lawrence,No,High Rise,2024-03-07,2024-04-12,2,36,1
Mutual,No,High Rise,2024-07-10,2024-07-10,0,0,0
Scarlett,No,High Rise,2024-04-25,2024-10-29,2,187,1
Scarlett,No,High Rise,2024-04-25,2024-10-29,9,187,1
Scarlett,No,High Rise,2024-04-25,2024-10-29,10,187,1
Capri,No,High Rise,2024-05-22,2024-08-13,2,83,1
Graydon Hall,No,High Rise,2024-02-15,2024-03-19,3,33,1
Charles,No,High Rise,2023-11-22,2024-01-17,4,56,1
Markbrook,No,High Rise,2023-10-30,2024-02-16,1,109,1
Heath,No,High Rise,2023-10-31,2024-02-05,1,97,1
Don Mills,No,High Rise,2023-11-09,2024-02-15,1,98,1
Don Mills,No,High Rise,2023-11-09,2024-02-15,3,98,1
Don Mills,No,High Rise,2023-11-09,2024-02-15,4,98,1
Don Mills,No,High Rise,2023-11-09,2024-02-15,5,98,1
Don Mills,No,High Rise,2023-11-09,2024-02-15,8,98,1
Skymark,No,High Rise,2023-11-10,2024-02-20,4,102,1
Glebe,No,High Rise,2023-11-02,2024-05-27,4,207,1
Islington,No,High Rise,2023-11-02,2024-03-27,1,146,1
Bay,No,High Rise,2023-10-11,2024-02-01,5,113,1
Bay,No,High Rise,2023-10-11,2024-02-01,6,113,1
Bayview,No,High Rise,2023-12-13,2024-04-12,1,121,1
Kingston,No,High Rise,2023-10-06,2024-04-24,2,201,1
Kingston,No,High Rise,2023-10-06,2024-04-24,6,201,1
Mornelle,No,High Rise,2023-10-12,2024-01-11,0,91,0
Wellesley,No,High Rise,2023-11-21,2024-04-19,2,150,1
Wellesley,No,High Rise,2023-11-21,2024-04-19,4,150,1
Wellesley,No,High Rise,2023-11-21,2024-04-19,12,150,1
Eglinton,No,High Rise,2023-10-10,2024-02-08,5,121,1
Lower Village,No,High Rise,2023-10-11,2024-03-14,2,155,1
Weston,No,High Rise,2024-04-04,2024-07-09,4,96,1
Queen,No,High Rise,2024-02-15,2024-04-16,3,61,1
Burlington,No,Low Rise,2024-01-24,2024-04-10,0,77,0
Winnifred,No,Rooming House,2024-08-02,2024-08-02,0,0,0
Yonge,No,Low Rise,2024-06-17,2024-06-19,0,2,0
Isaac Devins,No,Low Rise,2024-07-23,2024-08-07,0,15,0
St Clair,No,High Rise,2024-11-14,2024-11-14,0,0,0
Danforth,No,High Rise,2024-01-08,2024-01-08,0,0,0
Goldfinch,No,High Rise,2023-12-08,2024-02-16,0,70,0
Graydon Hall,No,High Rise,2023-12-01,2024-02-27,1,88,1
George,No,High Rise,2024-05-01,2024-07-04,5,64,1
George,No,High Rise,2024-05-01,2024-07-04,8,64,1
Dowling,No,High Rise,2023-11-29,2024-04-02,1,125,1
Western Battery,No,High Rise,2024-07-11,2024-11-05,2,117,1
Victoria Park,No,High Rise,2023-11-22,2024-01-24,1,63,1
Lauder,No,Low Rise,2023-06-08,2024-01-03,2,209,1
Lauder,No,Low Rise,2023-06-08,2024-01-03,3,209,1
Grangeway,No,High Rise,2023-08-30,2024-07-30,5,335,1
Shelborne,No,Low Rise,2023-08-24,2024-09-03,5,376,1
Jane,No,High Rise,2023-09-19,2024-05-07,2,231,1
Wynford Heights,No,High Rise,2023-07-27,2024-01-08,7,165,1
Jane,No,High Rise,2023-11-09,2024-02-08,3,91,1
Jane,No,High Rise,2023-11-09,2024-02-08,5,91,1
Porter,No,Low Rise,2023-08-25,2024-09-19,4,391,1
Clipper,No,High Rise,2023-08-28,2024-05-28,2,274,1
Martha Eaton,No,High Rise,2024-01-30,2024-03-08,4,38,1
Rouge Hills,No,Low Rise,2024-01-31,2024-03-27,0,56,0
Honbury,No,Rooming House,2024-05-16,2024-05-17,0,1,0
Widdicombe,No,High Rise,2024-02-12,2024-02-12,0,0,0
Goodwood Park,No,High Rise,2024-08-02,2024-11-20,5,110,1
McNicoll,No,High Rise,2024-04-23,2024-06-12,2,50,1
Massey,No,High Rise,2024-06-13,2024-06-13,0,0,0
Arboretum,No,High Rise,2024-09-11,2024-09-25,0,14,0
Harcourt,No,Low Rise,2024-09-24,2024-11-06,3,43,1
Garnett Janes,No,High Rise,2024-06-06,2024-06-25,1,19,1
Pape,No,Low Rise,2024-08-06,2024-08-13,1,7,1
Hycrest,No,High Rise,2023-07-13,2024-10-23,7,468,1
Hycrest,No,High Rise,2023-07-13,2024-10-23,12,468,1
Greenfield,No,High Rise,2023-07-12,2024-07-26,2,380,1
Greenfield,No,High Rise,2023-07-12,2024-07-26,4,380,1
Greenview,No,High Rise,2023-07-18,2024-10-04,3,444,1
Greenview,No,High Rise,2023-07-18,2024-10-04,11,444,1
Kenneth,No,High Rise,2023-07-13,2024-09-25,4,440,1
Kenneth,No,High Rise,2023-07-13,2024-09-25,7,440,1
King,No,High Rise,2023-12-01,2024-04-23,6,144,1
Islington,No,High Rise,2023-11-02,2024-03-27,4,146,1
Eglinton,No,High Rise,2023-11-15,2024-04-08,1,145,1
Tannery,No,High Rise,2023-12-13,2024-01-18,3,36,1
Cooperage,No,High Rise,2023-12-19,2024-02-28,3,71,1
Lillian,No,High Rise,2024-01-26,2024-01-29,0,3,0
Bay,No,High Rise,2023-11-06,2024-01-03,1,58,1
Carlton,No,Rooming House,2023-11-13,2024-01-25,2,73,1
Gerrard,No,Rooming House,2024-01-23,2024-06-13,3,142,1
Gerrard,No,Rooming House,2024-01-23,2024-06-13,7,142,1
Forest Manor,No,High Rise,2023-11-09,2024-07-12,11,246,1
Forest Manor,No,High Rise,2023-11-09,2024-08-13,4,278,1
Forest Manor,No,High Rise,2023-11-09,2024-04-11,1,154,1
Forest Manor,No,High Rise,2023-11-09,2024-04-11,4,154,1
Forest Manor,No,High Rise,2023-11-09,2024-04-11,6,154,1
Forest Manor,No,High Rise,2023-11-09,2024-04-11,9,154,1
Merton,No,High Rise,2023-11-07,2024-01-09,5,63,1
St Clair,No,Rooming House,2023-11-09,2024-06-12,5,216,1
Markham,No,Low Rise,2023-11-14,2024-03-05,1,112,1
Yorkville,No,High Rise,2023-10-12,2024-02-01,2,112,1
Yorkville,No,High Rise,2023-10-12,2024-02-01,4,112,1
Yorkville,No,High Rise,2023-10-12,2024-02-01,5,112,1
Yorkville,No,High Rise,2023-10-13,2024-02-21,10,131,1
Church,No,High Rise,2023-10-13,2024-01-04,2,83,1
Bloor,No,High Rise,2023-10-13,2024-01-04,1,83,1
Dupont,No,High Rise,2023-10-12,2024-02-16,10,127,1
Victoria Park,No,High Rise,2023-10-11,2024-01-03,2,84,1
Indian,No,High Rise,2023-10-25,2024-10-29,5,370,1
Indian,No,High Rise,2023-10-25,2024-10-29,6,370,1
King,No,High Rise,2023-10-25,2024-03-28,1,155,1
Kipling,No,High Rise,2023-12-14,2024-02-09,1,57,1
Kipling,No,High Rise,2023-12-14,2024-02-09,3,57,1
Martin Grove,No,High Rise,2023-10-26,2024-01-09,4,75,1
Widdicombe,No,High Rise,2023-12-12,2024-01-25,2,44,1
Harrison Garden,No,High Rise,2023-07-18,2024-08-28,2,407,1
Harrison Garden,No,High Rise,2023-07-18,2024-08-28,3,407,1
Islington,No,High Rise,2023-07-13,2024-02-20,3,222,1
Islington,No,High Rise,2023-07-13,2024-02-20,9,222,1
Lawrence,No,High Rise,2023-06-19,2024-03-26,1,281,1
Augusta,No,Low Rise,2023-12-22,2024-04-09,5,109,1
Kingston,No,High Rise,2024-06-24,2024-09-05,2,73,1
Kingston,No,High Rise,2024-06-24,2024-09-05,7,73,1
Richview,No,High Rise,2024-03-06,2024-08-01,3,148,1
Freeland,No,High Rise,2024-07-22,2024-09-03,0,43,0
Carlton,No,Rooming House,2023-12-28,2024-01-08,0,11,0
Fairview Mall,No,High Rise,2024-01-12,2024-04-25,6,104,1
Fairview Mall,No,High Rise,2024-01-12,2024-04-25,10,104,1
Fairview Mall,No,High Rise,2024-01-12,2024-04-25,13,104,1
Lansdowne,No,Low Rise,2024-02-28,2024-05-14,2,76,1
Wellesley,No,High Rise,2024-04-11,2024-07-24,7,104,1
Richmond,No,Hotel & Motel,2024-06-12,2024-07-02,0,20,0
Carabob,No,High Rise,2024-06-14,2024-06-17,0,3,0
Bathurst,No,Low Rise,2024-07-10,2024-07-31,0,21,0
St Clair,No,High Rise,2024-11-06,2024-11-06,0,0,0
Chichester,No,High Rise,2024-09-20,2024-11-15,0,56,0
Steeles,No,High Rise,2024-06-24,2024-06-26,0,2,0
Don Mills,No,High Rise,2024-04-09,2024-04-18,2,9,1
Mason,No,High Rise,2024-02-14,2024-02-28,0,14,0
Kipling,No,High Rise,2024-02-20,2024-02-20,0,0,0
Keele,No,High Rise,2023-12-08,2024-07-04,1,209,1
Markham,No,High Rise,2023-11-15,2024-03-21,5,127,1
Dixon,No,High Rise,2024-05-08,2024-07-29,5,82,1
Wynford Heights,No,High Rise,2024-04-05,2024-05-21,2,46,1
Yonge,No,High Rise,2024-07-15,2024-08-01,1,17,1
Bathurst,No,Hospital,2024-08-20,2024-11-04,0,76,0
Thorncliffe Park,No,High Rise,2024-06-17,2024-09-10,1,85,1
The Donway,No,High Rise,2023-08-30,2024-01-12,1,135,1
Bloor,No,Low Rise,2023-08-31,2024-11-20,1,447,1
Sheppard,No,High Rise,2023-09-26,2024-02-22,4,149,1
Bamburgh,No,High Rise,2023-11-29,2024-03-27,2,119,1
Bamburgh,No,High Rise,2023-09-06,2024-02-14,2,161,1
Reidmount,No,High Rise,2023-10-03,2024-09-17,4,350,1
Silver Springs,No,High Rise,2023-09-26,2024-09-24,1,364,1
Lynwood,No,High Rise,2023-11-13,2024-01-22,5,70,1
St Clair,No,High Rise,2023-11-29,2024-07-11,8,225,1
Vaughan,No,High Rise,2023-11-15,2024-04-03,7,140,1
Vaughan,No,High Rise,2023-11-15,2024-05-08,1,175,1
Vaughan,No,High Rise,2023-11-15,2024-05-08,2,175,1
Brock,No,Low Rise,2023-11-21,2024-01-24,2,64,1
Thorncliffe Park,No,Low Rise,2023-12-13,2024-02-21,1,70,1
Thorncliffe Park,No,Low Rise,2023-12-13,2024-02-21,2,70,1
Ontario,No,High Rise,2023-11-22,2024-03-13,4,112,1
Barton,No,Low Rise,2023-11-24,2024-05-08,5,166,1
Greystone Walk,No,High Rise,2023-11-28,2024-08-26,2,272,1
Duplex,No,High Rise,2023-07-19,2024-02-12,2,208,1
Duplex,No,High Rise,2023-07-19,2024-02-12,8,208,1
Duplex,No,High Rise,2023-07-19,2024-02-12,12,208,1
Duplex,No,High Rise,2023-07-19,2024-02-12,13,208,1
Bloor,No,Low Rise,2023-07-11,2024-05-03,1,297,1
Bloor,No,Low Rise,2023-07-11,2024-05-03,2,297,1
Hanna,No,High Rise,2023-09-08,2024-03-05,1,179,1
Burnhamthorpe,No,High Rise,2023-09-20,2024-01-19,1,121,1
Neptune,No,High Rise,2023-08-29,2024-04-02,3,217,1
Neptune,No,High Rise,2023-08-29,2024-04-02,10,217,1
Chaplin,No,High Rise,2023-09-20,2024-03-20,9,182,1
Glen Park,No,High Rise,2023-11-01,2024-02-08,1,99,1
Glen Park,No,High Rise,2023-11-01,2024-02-08,4,99,1
New Heights,No,High Rise,2023-09-19,2024-04-03,2,197,1
New Heights,No,High Rise,2023-09-19,2024-04-03,4,197,1
Bathurst,No,High Rise,2023-08-03,2024-01-15,1,165,1
Bathurst,No,High Rise,2023-08-03,2024-01-15,4,165,1
Fontenay,No,High Rise,2023-10-24,2024-01-30,2,98,1
The Westway,No,High Rise,2023-12-12,2024-03-04,3,83,1
Royal York,No,High Rise,2023-11-23,2024-02-02,6,71,1
Kennedy,No,High Rise,2023-10-18,2024-05-14,1,209,1
Bayview,No,Hospital,2023-10-19,2024-02-06,1,110,1
Valley Woods,No,High Rise,2023-10-17,2024-01-30,4,105,1
Jarvis,No,High Rise,2023-10-23,2024-06-17,1,238,1
Jarvis,No,High Rise,2023-10-23,2024-06-17,2,238,1
Scollard,No,High Rise,2024-04-10,2024-06-19,1,70,1
Leith Hill,No,High Rise,2023-11-15,2024-04-25,2,162,1
Don Mills,No,High Rise,2023-11-09,2024-02-15,6,98,1
Tannery,No,High Rise,2023-12-13,2024-01-18,5,36,1
McAdam,No,High Rise,2023-06-29,2024-06-24,1,361,1
McAdam,No,High Rise,2023-06-29,2024-06-24,3,361,1
Simcoe,No,High Rise,2023-11-29,2024-01-17,0,49,0
Balmuto,No,High Rise,2023-12-20,2024-05-22,1,154,1
Hazelton,No,High Rise,2023-10-04,2024-01-03,3,91,1
Hazelton,No,High Rise,2023-10-04,2024-01-03,6,91,1
Scarlett,No,High Rise,2024-04-25,2024-10-29,1,187,1
Scarlett,No,High Rise,2024-04-25,2024-10-29,5,187,1
Capri,No,High Rise,2024-05-22,2024-08-13,3,83,1
Martha Eaton,No,High Rise,2024-01-30,2024-03-08,8,38,1
Church,No,High Rise,2024-02-05,2024-02-08,0,3,0
Manitoba,No,High Rise,2024-09-11,2024-09-11,0,0,0
Goodwood Park,No,High Rise,2024-08-02,2024-11-20,1,110,1
Linus,No,High Rise,2024-04-03,2024-07-29,1,117,1
Linus,No,High Rise,2024-04-03,2024-07-29,5,117,1
Bloor,No,High Rise,2024-07-25,2024-07-25,0,0,0
Jarvis,No,High Rise,2024-06-14,2024-10-01,1,109,1
Jarvis,No,High Rise,2024-06-14,2024-10-01,3,109,1
Jarvis,No,High Rise,2024-06-14,2024-10-01,6,109,1
Haileybury,No,Group Home,2024-07-25,2024-09-25,0,62,0
Spadina,No,High Rise,2024-05-06,2024-07-04,4,59,1
Spadina,No,High Rise,2024-05-06,2024-07-04,8,59,1
Beecroft,No,High Rise,2024-03-01,2024-07-24,1,145,1
Beechwood,No,Low Rise,2024-09-18,2024-10-18,0,30,0
The East Mall,No,Low Rise,2024-07-25,2024-08-30,0,36,0
Ling,No,High Rise,2023-12-29,2024-02-09,1,42,1
Ling,No,High Rise,2023-12-29,2024-02-09,6,42,1
Jarvis,No,High Rise,2024-04-11,2024-04-17,1,6,1
Thunder,No,High Rise,2024-10-03,2024-10-17,0,14,0
Martin Grove,No,High Rise,2024-08-22,2024-10-23,2,62,1
Carlton,No,High Rise,2024-06-20,2024-06-27,2,7,1
Alton Towers,No,High Rise,2024-02-15,2024-11-06,1,265,1
Alton Towers,No,High Rise,2024-02-15,2024-11-06,3,265,1
Alton Towers,No,High Rise,2024-02-15,2024-11-06,4,265,1
Lotherton,No,High Rise,2024-03-07,2024-03-07,0,0,0
Park Vista,No,High Rise,2024-06-28,2024-11-20,3,145,1
Park Vista,No,High Rise,2024-06-28,2024-11-20,6,145,1
Don Mills,No,High Rise,2023-11-23,2024-11-20,1,363,1
Lower Simcoe,No,High Rise,2024-08-14,2024-08-21,0,7,0
Cataraqui,No,Low Rise,2024-09-10,2024-10-10,3,30,1
Blake,No,High Rise,2024-01-24,2024-01-24,0,0,0
St Clair,No,High Rise,2024-08-09,2024-09-23,2,45,1
Eastdale,No,High Rise,2024-06-28,2024-11-13,1,138,1
Silver Springs,No,High Rise,2023-11-22,2024-04-05,7,135,1
Victoria Park,No,High Rise,2023-09-15,2024-01-02,3,109,1
Silver Springs,No,High Rise,2023-12-20,2024-04-05,7,107,1
Eglinton,No,High Rise,2023-10-31,2024-01-30,2,91,1
Teesdale,No,High Rise,2023-10-03,2024-01-16,4,105,1
Firvalley,No,High Rise,2023-09-27,2024-01-25,2,120,1
Teesdale,No,High Rise,2023-10-31,2024-02-15,1,107,1
Teesdale,No,High Rise,2023-10-31,2024-02-15,7,107,1
Fairfax,No,High Rise,2023-10-19,2024-02-05,4,109,1
Victoria Park,No,High Rise,2023-11-06,2024-02-15,3,101,1
Teesdale,No,High Rise,2023-10-13,2024-01-22,1,101,1
Macey,No,High Rise,2023-10-03,2024-01-18,1,107,1
Eglinton,No,High Rise,2023-09-14,2024-07-09,5,299,1
Eglinton,No,High Rise,2023-09-14,2024-07-09,7,299,1
Eglinton,No,High Rise,2023-09-14,2024-07-09,8,299,1
Kingston,No,High Rise,2023-10-18,2024-03-26,6,160,1
Kingston,No,High Rise,2023-10-18,2024-03-26,18,160,1
St Clair,No,Low Rise,2023-12-06,2024-02-13,2,69,1
Yorkville,No,High Rise,2023-11-28,2024-04-04,2,128,1
Spadina,No,Low Rise,2023-12-01,2024-01-04,1,34,1
Spadina,No,Low Rise,2023-12-04,2024-01-03,0,30,0
Bloor,No,High Rise,2023-12-08,2024-09-05,1,272,1
Bayview,No,Hospital,2023-12-07,2024-01-26,0,50,0
Sheppard,No,High Rise,2023-12-19,2024-09-13,4,269,1
Sheppard,No,High Rise,2023-12-21,2024-09-13,2,267,1
Sheppard,No,High Rise,2023-12-21,2024-09-13,7,267,1
Eglinton,No,High Rise,2023-12-12,2024-01-25,0,44,0
Carlton,No,Rooming House,2023-12-12,2024-01-03,0,22,0
Wellesley,No,Rooming House,2023-12-22,2024-02-08,0,48,0
Pembroke,No,Rooming House,2023-12-12,2024-04-24,1,134,1
Pembroke,No,Rooming House,2023-12-13,2024-01-09,0,27,0
Huron,No,Rooming House,2023-12-15,2024-01-24,0,40,0
Asquith,No,High Rise,2024-01-10,2024-01-10,0,0,0
Carlton,No,Rooming House,2023-12-19,2024-03-13,2,85,1
Lombard,No,High Rise,2023-12-19,2024-01-15,1,27,1
The Esplanade,No,High Rise,2023-12-21,2024-01-02,0,12,0
St Joseph,No,High Rise,2023-12-20,2024-05-07,1,139,1
Carlton,No,Rooming House,2023-11-13,2024-01-25,1,73,1
Carlton,No,Rooming House,2023-11-13,2024-01-25,4,73,1
Carlton,No,Rooming House,2023-11-13,2024-01-25,8,73,1
Islington,No,Hotel & Motel,2023-12-14,2024-01-03,1,20,1
Islington,No,Hotel & Motel,2023-12-14,2024-01-03,2,20,1
Forest Manor,No,High Rise,2023-11-09,2024-07-12,5,246,1
Forest Manor,No,High Rise,2023-11-09,2024-08-13,1,278,1
Forest Manor,No,High Rise,2023-11-09,2024-08-13,7,278,1
Forest Manor,No,High Rise,2023-11-09,2024-08-13,9,278,1
Forest Manor,No,High Rise,2023-11-09,2024-04-11,2,154,1
Merton,No,High Rise,2023-11-07,2024-01-09,2,63,1
St Clair,No,Rooming House,2023-11-09,2024-06-12,1,216,1
Bloor,No,Low Rise,2023-11-13,2024-02-06,2,85,1
Lonsdale,No,High Rise,2023-11-09,2024-04-09,2,152,1
Charles,No,High Rise,2023-11-14,2024-01-11,0,58,0
Eglinton,No,High Rise,2023-12-12,2024-02-13,1,63,1
Eglinton,No,High Rise,2023-12-12,2024-02-13,3,63,1
Eglinton,No,High Rise,2023-12-12,2024-02-13,4,63,1
Edward,No,High Rise,2023-11-10,2024-01-10,1,61,1
St Patrick,No,High Rise,2023-09-27,2024-01-17,0,112,0
Cumberland,No,High Rise,2024-03-06,2024-08-01,1,148,1
Palmerston,No,High Rise,2023-11-14,2024-01-25,0,72,0
Avenue,No,High Rise,2023-09-05,2024-01-15,0,132,0
Spadina,No,High Rise,2023-10-30,2024-01-11,1,73,1
Collier,No,High Rise,2023-11-29,2024-02-15,1,78,1
Collier,No,High Rise,2023-11-29,2024-02-15,3,78,1
Collier,No,High Rise,2023-11-29,2024-02-15,5,78,1
St George,No,High Rise,2023-11-14,2024-01-24,1,71,1
Bay,No,High Rise,2024-03-11,2024-04-25,1,45,1
Avenue,No,High Rise,2023-09-05,2024-01-12,0,129,0
Bloor,No,High Rise,2023-09-19,2024-01-17,2,120,1
Bloor,No,High Rise,2023-09-19,2024-01-17,9,120,1
Bloor,No,High Rise,2023-10-26,2024-01-09,2,75,1
Bloor,No,High Rise,2023-10-26,2024-01-09,3,75,1
Lowther,No,High Rise,2024-03-07,2024-03-28,0,21,0
Brookdale,No,High Rise,2023-11-16,2024-04-18,3,154,1
Fairview Mall,No,High Rise,2023-07-11,2024-01-23,2,196,1
Fairview Mall,No,High Rise,2023-07-11,2024-01-23,4,196,1
Leila,No,Low Rise,2023-12-13,2024-02-22,1,71,1
Leila,No,Low Rise,2023-12-13,2024-02-22,0,71,0
Replin,No,Low Rise,2023-11-30,2024-01-11,2,42,1
Lawton,No,High Rise,2023-07-12,2024-06-25,6,349,1
Fort York,No,High Rise,2023-10-13,2024-01-09,3,88,1
Peter,No,High Rise,2023-08-14,2024-01-26,4,165,1
Cherry,No,High Rise,2023-12-20,2024-03-08,2,79,1
Bathurst,No,High Rise,2023-08-15,2024-02-16,1,185,1
Richardson,No,High Rise,2023-08-17,2024-02-13,3,180,1
Valhalla Inn,No,High Rise,2024-01-22,2024-04-30,4,99,1
Helendale,No,High Rise,2024-08-13,2024-09-18,1,36,1
Helendale,No,High Rise,2024-08-13,2024-09-18,2,36,1
Helendale,No,High Rise,2024-08-13,2024-09-18,3,36,1
Eglinton,No,High Rise,2024-02-06,2024-03-05,0,28,0
Pemberton,No,High Rise,2024-04-15,2024-05-07,0,22,0
Markham,No,High Rise,2023-11-15,2024-03-21,1,127,1
Markham,No,High Rise,2023-11-15,2024-03-21,3,127,1
Dixon,No,High Rise,2024-05-08,2024-07-29,1,82,1
Arbor Dell,No,Low Rise,2024-04-25,2024-05-03,0,8,0
Winona,No,High Rise,2023-12-20,2024-03-21,6,92,1
Eppleworth,No,Low Rise,2023-12-22,2024-01-18,3,27,1
Eppleworth,No,Low Rise,2023-12-22,2024-01-18,4,27,1
Eppleworth,No,Low Rise,2023-12-22,2024-01-18,9,27,1
Walmer,No,High Rise,2023-12-21,2024-02-21,4,62,1
Walmer,No,High Rise,2023-12-21,2024-05-10,8,141,1
Walmer,No,High Rise,2023-12-21,2024-03-20,4,90,1
Madison,No,High Rise,2023-12-22,2024-06-18,4,179,1
Roehampton,No,High Rise,2023-12-28,2024-03-06,3,69,1
Roehampton,No,High Rise,2023-12-28,2024-03-06,4,69,1
Rosehill,No,High Rise,2023-12-21,2024-02-21,3,62,1
Eppleworth,No,Low Rise,2023-12-22,2024-01-02,0,11,0
Springhurst,No,High Rise,2023-12-28,2024-06-04,0,159,0
Spencer,No,Low Rise,2023-12-27,2024-02-28,3,63,1
Yorkville,No,High Rise,2023-12-22,2024-02-27,0,67,0
Jameson,No,Low Rise,2023-12-28,2024-01-03,0,6,0
Green Belt,No,High Rise,2023-12-13,2024-04-12,2,121,1
Lawrence,No,Low Rise,2024-01-24,2024-04-18,6,85,1
Concord,No,Low Rise,2024-08-19,2024-11-08,1,81,1
Eastdale,No,High Rise,2024-06-28,2024-11-13,2,138,1
Eastdale,No,High Rise,2024-06-28,2024-11-13,4,138,1
Glen Everest,No,High Rise,2024-03-11,2024-04-04,0,24,0
Victoria Park,No,Low Rise,2024-09-04,2024-10-01,1,27,1
Spruce,No,Low Rise,2024-04-26,2024-09-06,3,133,1
Spruce,No,Low Rise,2024-04-26,2024-09-06,15,133,1
De Marco,No,Low Rise,2024-08-27,2024-09-03,0,7,0
Chalkfarm,No,High Rise,2024-01-29,2024-02-13,0,15,0
DOVERCOURT,No,Low Rise,2024-01-04,2024-03-05,0,61,0
Neptune,No,Low Rise,2024-06-07,2024-08-09,4,63,1
Tubman,No,High Rise,2024-07-18,2024-08-01,2,14,1
London Green,No,High Rise,2023-12-20,2024-04-04,2,106,1
McCowan,No,High Rise,2023-10-04,2024-03-19,3,167,1
McCowan,No,High Rise,2023-10-04,2024-03-19,5,167,1
Eglinton,No,High Rise,2023-10-13,2024-06-24,4,255,1
Eglinton,No,High Rise,2023-10-13,2024-06-24,6,255,1
Eglinton,No,High Rise,2023-10-13,2024-06-24,11,255,1
McCowan,No,High Rise,2023-09-06,2024-02-21,0,168,0
Cedar,No,High Rise,2023-08-17,2024-05-15,2,272,1
Forest Manor,No,High Rise,2023-09-20,2024-02-15,7,148,1
Old Sheppard,No,High Rise,2023-09-20,2024-09-13,2,359,1
Old Sheppard,No,High Rise,2023-09-20,2024-09-13,8,359,1
Davenport,No,Group Home,2023-09-07,2024-07-26,4,323,1
Davenport,No,Group Home,2023-09-07,2024-07-26,6,323,1
Davenport,No,Group Home,2023-09-07,2024-07-26,8,323,1
Lawrence,No,High Rise,2023-10-10,2024-02-08,1,121,1
Eglinton,No,High Rise,2023-12-11,2024-04-24,1,135,1
St Clair,No,High Rise,2023-11-29,2024-07-11,3,225,1
Vaughan,No,High Rise,2023-11-15,2024-01-25,4,71,1
Elm,No,Low Rise,2024-01-31,2024-02-08,0,8,0
Old Mill,No,High Rise,2023-11-14,2024-02-15,1,93,1
Yonge,No,Low Rise,2023-11-20,2024-01-16,0,57,0
Humberline,No,High Rise,2023-11-20,2024-02-02,0,74,0
Thorncliffe Park,No,Low Rise,2023-12-13,2024-04-04,0,113,0
Thorncliffe Park,No,Low Rise,2023-12-13,2024-01-30,0,48,0
Ontario,No,High Rise,2023-11-22,2024-03-13,1,112,1
Ontario,No,High Rise,2023-11-22,2024-03-13,2,112,1
Burnfield,No,Low Rise,2023-11-22,2024-01-31,1,70,1
Lawren Harris,No,High Rise,2023-11-22,2024-01-30,2,69,1
Barton,No,Low Rise,2023-11-24,2024-05-08,1,166,1
Smooth Rose,No,High Rise,2023-11-30,2024-02-16,2,78,1
Gerrard,No,High Rise,2023-11-27,2024-02-06,1,71,1
Bloor,No,High Rise,2024-07-18,2024-08-06,0,19,0
Brian Harrison,No,High Rise,2023-12-06,2024-01-09,5,34,1
Sullivan,No,Low Rise,2024-04-23,2024-05-22,2,29,1
Midland,No,High Rise,2024-02-28,2024-08-06,6,160,1
Erskine,No,High Rise,2024-02-26,2024-03-07,0,10,0
Millwood,No,Low Rise,2024-09-09,2024-09-12,0,3,0
